"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2017.08.13 3:45 PM GMT","Mount Panorama Circuit","Pro Mazda Championship","2017","3","N/A","9","1773"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","4","Pro Mazda","4","Pro Mazda","181624","181624","Jean-Michel Noyon","2","1","0","Running","-00.000","16","","2:03.036","2:02.438","5","16","1","106","13","2","39","France","3155","3206","20","455","20","469","Pro Mazda Championship","32","0"
"2","4","Pro Mazda","4","Pro Mazda","195871","195871","Jake R McMahon","1","4","0","Running","-25.538","0","","2:04.633","2:01.800","15","16","9","97","11","3","34","Australia/NZ","2169","2233","15","379","15","369","Pro Mazda Championship","32","0"
"3","4","Pro Mazda","4","Pro Mazda","204909","204909","Andrew Burns2","7","3","0","Running","-43.600","0","","2:05.761","2:03.383","7","16","3","89","9","2","29","Midwest","2332","2376","14","284","15","347","Pro Mazda Championship","32","0"
"4","4","Pro Mazda","4","Pro Mazda","234303","234303","Jamie Brinkley","3","2","0","Running","-1:07.065","0","","2:07.228","2:03.820","9","16","4","81","7","4","36","UK and I","2415","2443","19","348","19","354","Pro Mazda Championship","32","0"
"5","4","Pro Mazda","4","Pro Mazda","244635","244635","Jose C Palacios","4","8","0","Running","-1:15.150","0","","2:07.733","2:06.375","2","16","3","73","5","3","38","Iberia","1677","1716","13","152","13","195","Pro Mazda Championship","32","0"
"6","4","Pro Mazda","4","Pro Mazda","20746","20746","Antonino Arcidiacono","12","10","0","Running","-1:24.215","0","","2:08.299","2:05.209","9","16","6","65","3","5","41","Italy","1537","1568","17","116","17","146","Pro Mazda Championship","32","0"
"7","4","Pro Mazda","4","Pro Mazda","209087","209087","Don Good","13","11","0","Running","-1:32.972","0","","2:08.847","2:05.451","9","16","1","57","1","6","32","West","1431","1452","15","343","15","367","Pro Mazda Championship","32","0"
"8","4","Pro Mazda","4","Pro Mazda","66345","66345","Duane Benzinger","11","9","0","Running","-1:51.210","0","","2:08.811","2:07.144","14","16","0","48","0","4","28","Michigan","1672","1669","20","453","20","473","Pro Mazda Championship","32","0"
"9","4","Pro Mazda","4","Pro Mazda","268088","268088","Shaun McEwan","6","14","0","Running","-1 L","0","","2:13.719","2:11.220","10","15","6","40","0","7","1","International Club","989","1003","14","292","15","346","Pro Mazda Championship","32","0"
"10","4","Pro Mazda","4","Pro Mazda","146696","146696","Jim Lakey","10","7","0","Running","-6 L","0","","2:08.784","2:04.504","2","10","2","32","0","6","15","Canada","1858","1820","19","320","19","328","Pro Mazda Championship","32","0"
"11","4","Pro Mazda","4","Pro Mazda","278194","278194","Daniel O'Neil3","14","12","32","Disconnected","-12 L","0","","2:12.127","2:08.601","2","4","5","24","0","5","20","Ohio","1325","1294","10","290","10","285","Pro Mazda Championship","32","0"
"12","4","Pro Mazda","4","Pro Mazda","36675","36675","Michael Sullivan","8","5","32","Disconnected","-12 L","0","","2:08.087","2:07.836","3","4","5","16","0","4","28","Michigan","1976","1905","19","364","19","346","Pro Mazda Championship","32","0"
"13","4","Pro Mazda","4","Pro Mazda","177279","177279","Jose Antonio Yañez Buron","9","6","32","Disconnected","-14 L","0","","2:34.786","","","2","5","8","0","3","38","Iberia","1963","1878","15","303","14","245","Pro Mazda Championship","32","0"
"14","4","Pro Mazda","4","Pro Mazda","242850","242850","Michael Parkhurst","5","13","32","Disconnected","-15 L","0","","2:57.983","","","1","5","4","0","7","33","Northwest","1132","1068","14","211","14","204","Pro Mazda Championship","32","0"
