"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2017.07.31 8:00 PM GMT","Charlotte Motor Speedway - Oval","Dallara Dash","2017","3","N/A","7","1895"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","29","Indycar Dallara circa 2011","26","Dallara IndyCar","109522","109522","henri Sauvaire3","13","43","0","Running","-00.000","2","","24.801","24.291","21","30","1","0","0","0","39","France","2257","2257","10","279","10","279","Dallara Dash","100","0"
"2","29","Indycar Dallara circa 2011","26","Dallara IndyCar","230833","230833","Noel Fougere","9","19","0","Running","-00.435","0","","24.816","24.378","5","30","4","0","0","0","15","Canada","1685","1685","14","272","14","272","Dallara Dash","100","0"
"3","29","Indycar Dallara circa 2011","26","Dallara IndyCar","285766","285766","Summer Froemke","10","29","0","Running","-02.322","1","","24.879","24.346","6","30","8","0","0","0","29","Midwest","1262","1262","7","336","7","336","Dallara Dash","100","0"
"4","29","Indycar Dallara circa 2011","26","Dallara IndyCar","18034","18034","Kelly Thomas","20","28","0","Running","-1 L","0","","24.910","24.403","8","29","4","0","0","0","6","California Club","1586","1586","19","366","19","366","Dallara Dash","100","0"
"5","29","Indycar Dallara circa 2011","26","Dallara IndyCar","109629","109629","Jose Olivas","1","87","0","Running","-1 L","13","","25.246","24.360","7","29","13","0","0","0","6","California Club","1260","1260","19","327","19","327","Dallara Dash","100","0"
"6","29","Indycar Dallara circa 2011","26","Dallara IndyCar","258185","258185","Holly Crilly","17","8","0","Running","-1 L","0","","25.942","24.975","22","29","8","0","0","0","26","Illinois","","","2","273","2","273","Dallara Dash","100","0"
"7","29","Indycar Dallara circa 2011","26","Dallara IndyCar","279455","279455","Ryan Hellyer","11","6","0","Running","-2 L","0","","26.772","24.318","21","28","2","0","0","0","34","Australia/NZ","1606","1606","6","263","6","263","Dallara Dash","100","0"
"8","29","Indycar Dallara circa 2011","26","Dallara IndyCar","270352","270352","Chad J Frankenfield","6","5","32","Disconnected","-3 L","6","","24.716","24.333","5","27","9","0","0","0","16","Pennsylvania","1594","1594","18","205","18","205","Dallara Dash","100","0"
"9","29","Indycar Dallara circa 2011","26","Dallara IndyCar","254634","254634","Laurent Laborde2","14","4","0","Running","-4 L","0","","28.300","24.900","2","26","10","0","0","0","39","France","1608","1608","6","262","6","262","Dallara Dash","100","0"
"10","29","Indycar Dallara circa 2011","26","Dallara IndyCar","247382","247382","Brandon Carl","19","2","0","Running","-4 L","0","","25.944","24.563","21","26","10","0","0","0","20","Ohio","1665","1665","18","223","18","223","Dallara Dash","100","0"
"11","29","Indycar Dallara circa 2011","26","Dallara IndyCar","45545","45545","Art Seeger","8","66","32","Disconnected","-6 L","0","","27.075","24.380","20","24","2","0","0","0","19","New Jersey","1317","1317","14","266","14","266","Dallara Dash","100","0"
"12","29","Indycar Dallara circa 2011","26","Dallara IndyCar","190656","190656","JR Smith","2","77","32","Disconnected","-16 L","8","","24.872","24.347","6","14","3","0","0","0","30","Texas","4732","4732","18","266","18","266","Dallara Dash","100","0"
"13","29","Indycar Dallara circa 2011","26","Dallara IndyCar","166058","166058","Kian Raleigh-Howell","4","41","32","Disconnected","-19 L","0","","25.309","24.341","6","11","13","0","0","0","23","Mid-South","3532","3532","18","256","18","256","Dallara Dash","100","0"
"14","29","Indycar Dallara circa 2011","26","Dallara IndyCar","199381","199381","Colton Salek","3","91","32","Disconnected","-19 L","0","","26.411","24.297","5","11","12","0","0","0","22","Florida","2588","2588","14","253","14","253","Dallara Dash","100","0"
"15","29","Indycar Dallara circa 2011","26","Dallara IndyCar","233534","233534","Connor Lane","7","27","32","Disconnected","-21 L","0","","25.295","24.389","6","9","10","0","0","0","31","Great Plains","3265","3265","14","232","14","232","Dallara Dash","100","0"
"16","29","Indycar Dallara circa 2011","26","Dallara IndyCar","221247","221247","Thomas Walter4","16","7","32","Disconnected","-22 L","0","","26.202","24.713","8","8","0","0","0","0","27","Indiana","1443","1443","6","262","6","262","Dallara Dash","100","0"
"17","29","Indycar Dallara circa 2011","26","Dallara IndyCar","275435","275435","Daniel Ibarra","12","3","32","Disconnected","-27 L","0","","28.580","24.929","2","3","8","0","0","0","24","Hispanoamérica","1640","1640","6","249","6","249","Dallara Dash","100","0"
"18","29","Indycar Dallara circa 2011","26","Dallara IndyCar","94795","94795","Michelle Chastain","5","9","32","Disconnected","-28 L","0","","28.845","","","2","5","0","0","0","27","Indiana","","","2","244","2","244","Dallara Dash","100","0"
"19","29","Indycar Dallara circa 2011","26","Dallara IndyCar","151156","151156","Morten Hansen","18","42","32","Disconnected","-28 L","0","","1:01.313","","","2","4","0","0","0","43","Scandinavia","2992","2992","18","289","18","289","Dallara Dash","100","0"
"20","29","Indycar Dallara circa 2011","26","Dallara IndyCar","271465","271465","Joshua Johnson6","15","1","32","Disconnected","-30 L","0","","00.000","","","0","4","0","0","0","31","Great Plains","1818","1818","15","325","15","325","Dallara Dash","100","0"
