"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2017.08.21 10:45 PM GMT","Circuit de Spa-Francorchamps - Classic Pits","iRacing Formula Renault 2.0","2017","3","N/A","10","2339"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","74","Formula Renault 2.0","81","Formula Renault 2.0","211551","211551","David Jarvis","1","1","0","Running","-00.000","10","","2:16.860","2:15.503","7","13","2","143","19","1","36","UK and I","5399","5430","15","333","15","347","iRacing Formula Renault 2.0","100","0"
"2","74","Formula Renault 2.0","81","Formula Renault 2.0","280073","280073","Hugo Queniat","2","7","0","Running","-01.622","3","","2:16.985","2:15.816","13","13","2","135","17","6","39","France","2821","2894","15","347","15","358","iRacing Formula Renault 2.0","100","0"
"3","74","Formula Renault 2.0","81","Formula Renault 2.0","181255","181255","Julien AUFFRET","4","2","0","Running","-08.312","0","","2:17.499","2:16.589","12","13","8","127","15","1","39","France","5026","5043","26","223","26","210","iRacing Formula Renault 2.0","100","0"
"4","74","Formula Renault 2.0","81","Formula Renault 2.0","65999","65999","Tim McIver","3","5","0","Running","-16.509","0","","2:18.130","2:16.949","3","13","3","120","13","2","34","Australia/NZ","3132","3176","18","214","18","231","iRacing Formula Renault 2.0","100","0"
"5","74","Formula Renault 2.0","81","Formula Renault 2.0","154990","154990","Sergi Martinez","5","3","0","Running","-17.119","0","","2:18.177","2:16.622","12","13","8","112","11","2","38","Iberia","3486","3512","16","466","16","452","iRacing Formula Renault 2.0","100","0"
"6","74","Formula Renault 2.0","81","Formula Renault 2.0","220622","220622","Miguel Antolin","8","8","0","Running","-19.199","0","","2:18.336","2:16.652","10","13","1","105","9","2","38","Iberia","2622","2660","18","265","18","289","iRacing Formula Renault 2.0","100","0"
"7","74","Formula Renault 2.0","81","Formula Renault 2.0","88481","88481","Gerard Cabrera","7","11","0","Running","-23.357","0","","2:18.656","2:17.379","12","13","7","97","7","3","38","Iberia","2046","2092","18","274","18","264","iRacing Formula Renault 2.0","100","0"
"8","74","Formula Renault 2.0","81","Formula Renault 2.0","263252","263252","Anthony Lepagnot","9","14","0","Running","-30.169","0","","2:19.180","2:17.673","11","13","3","90","5","7","39","France","1760","1806","18","202","18","221","iRacing Formula Renault 2.0","100","0"
"9","74","Formula Renault 2.0","81","Formula Renault 2.0","249274","249274","Sebastian Peter Schaar","10","9","0","Running","-32.078","0","","2:19.327","2:17.433","8","13","8","82","3","2","42","DE-AT-CH","2405","2420","19","362","19","343","iRacing Formula Renault 2.0","100","0"
"10","74","Formula Renault 2.0","81","Formula Renault 2.0","285744","285744","Mickael Patient","12","20","0","Running","-36.851","0","","2:19.694","2:18.248","7","13","10","75","1","4","39","France","1549","1583","15","304","14","255","iRacing Formula Renault 2.0","100","0"
