"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2017.08.23 12:45 AM GMT","Circuit of the Americas - Grand Prix","iRacing Formula Renault 2.0","2017","3","N/A","11","1627"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","74","Formula Renault 2.0","81","Formula Renault 2.0","148962","148962","Andrew S Brown","1","2","0","Running","-00.000","15","","2:02.865","2:02.021","12","15","1","98","14","1","36","UK and I","2965","3017","14","245","14","277","iRacing Formula Renault 2.0","100","0"
"2","74","Formula Renault 2.0","81","Formula Renault 2.0","120570","120570","Matt Malone","2","1","0","Running","-40.364","0","","2:05.556","2:02.537","15","15","11","91","12","1","26","Illinois","3749","3772","18","296","18","267","iRacing Formula Renault 2.0","100","0"
"3","74","Formula Renault 2.0","81","Formula Renault 2.0","100517","100517","Brandon Crowe","7","6","0","Running","-41.108","0","","2:05.605","2:03.176","13","15","6","84","10","4","14","New York","1764","1825","19","303","18","254","iRacing Formula Renault 2.0","100","0"
"4","74","Formula Renault 2.0","81","Formula Renault 2.0","198828","198828","Koichi Wakiyama","6","9","0","Running","-55.281","0","","2:06.550","2:05.332","6","15","1","77","8","5","47","Asia","1429","1490","18","240","18","268","iRacing Formula Renault 2.0","100","0"
"5","74","Formula Renault 2.0","81","Formula Renault 2.0","68369","68369","Tae Kim","10","3","0","Running","-1:09.047","0","","2:07.467","2:05.512","10","15","10","70","6","3","15","Canada","2587","2595","15","351","15","336","iRacing Formula Renault 2.0","100","0"
"6","74","Formula Renault 2.0","81","Formula Renault 2.0","279280","279280","Damon Martinez","12","11","0","Running","-1:09.517","0","","2:07.499","2:04.117","7","15","13","63","4","4","32","West","1400","1436","14","243","14","232","iRacing Formula Renault 2.0","100","0"
"7","74","Formula Renault 2.0","81","Formula Renault 2.0","254855","254855","Kim Short","4","4","0","Running","-1:15.778","0","","2:07.917","2:07.000","7","15","14","56","2","4","6","California Club","1946","1947","11","304","11","303","iRacing Formula Renault 2.0","100","0"
"8","74","Formula Renault 2.0","81","Formula Renault 2.0","289768","289768","Shogo Yamagata","5","7","0","Running","-1:36.822","0","","2:09.319","2:06.556","7","15","4","49","0","4","47","Asia","1560","1562","11","310","11","324","iRacing Formula Renault 2.0","100","0"
"9","74","Formula Renault 2.0","81","Formula Renault 2.0","275706","275706","Adam Frazier","13","12","0","Running","-1:46.735","0","","2:09.980","2:07.689","14","15","8","42","0","5","17","Virginias","1251","1253","11","321","11","326","iRacing Formula Renault 2.0","100","0"
"10","74","Formula Renault 2.0","81","Formula Renault 2.0","285314","285314","Thomas Scheuring","8","13","0","Running","-2:03.146","0","","2:11.074","2:06.817","11","15","8","35","0","7","42","DE-AT-CH","974","977","11","323","11","330","iRacing Formula Renault 2.0","100","0"
"11","74","Formula Renault 2.0","81","Formula Renault 2.0","251763","251763","Rogerio Schiavon","15","15","0","Running","-1 L","0","","2:12.167","2:06.186","12","14","13","28","0","6","45","Brazil","821","820","13","136","13","135","iRacing Formula Renault 2.0","100","0"
"12","74","Formula Renault 2.0","81","Formula Renault 2.0","280155","280155","Jonathan Croteau-Dicaire","9","10","32","Disconnected","-10 L","0","","2:17.496","2:12.775","4","5","9","21","0","R","15","Canada","1421","1378","15","389","15","360","iRacing Formula Renault 2.0","100","0"
"13","74","Formula Renault 2.0","81","Formula Renault 2.0","256209","256209","Derwyn Costinak","3","5","0","Running","-11 L","0","","2:08.339","2:06.243","2","4","5","14","0","3","15","Canada","1845","1772","18","255","18","241","iRacing Formula Renault 2.0","100","0"
"14","74","Formula Renault 2.0","81","Formula Renault 2.0","248454","248454","Rob McGinnis","11","8","32","Disconnected","-13 L","0","","2:16.229","2:10.448","2","2","4","7","0","4","20","Ohio","1471","1399","15","348","15","333","iRacing Formula Renault 2.0","100","0"
"15","74","Formula Renault 2.0","81","Formula Renault 2.0","128026","128026","Gary Weaver","14","14","32","Disconnected","-15 L","0","","00.000","","","0","5","0","0","5","32","West","944","884","14","247","14","234","iRacing Formula Renault 2.0","100","0"
