"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2017.06.22 12:00 AM GMT","Road America - Full Course","IndyCar Series - Road","2017","3","N/A","2","1437"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","57","Dallara DW12","63","Dallara DW12","76752","76752","Scott Beck","2","1","0","Running","-00.000","24","","1:46.916","1:44.129","19","24","0","88","17","1","6","California Club","3849","3882","20","474","20","497","IndyCar Series - Road","100","0"
"2","57","Dallara DW12","63","Dallara DW12","180414","180414","Arturo Amro","3","3","0","Running","-26.492","0","","1:48.020","1:44.400","19","24","2","82","15","2","34","Australia/NZ","3097","3132","20","404","20","421","IndyCar Series - Road","100","0"
"3","57","Dallara DW12","63","Dallara DW12","111813","111813","Troy Eddy","6","5","0","Running","-55.827","0","","1:49.242","1:45.245","22","24","4","77","13","3","18","Atlantic","2255","2298","20","499","20","499","IndyCar Series - Road","100","0"
"4","57","Dallara DW12","63","Dallara DW12","185932","185932","Federico Calderon","1","2","0","Running","-1:11.010","0","","1:49.149","1:45.552","9","24","7","72","11","2","38","Iberia","3299","3308","20","499","20","499","IndyCar Series - Road","100","0"
"5","57","Dallara DW12","63","Dallara DW12","62540","62540","Rodrigo Munhoz","5","13","0","Running","-1:14.471","0","","1:50.019","1:46.139","24","24","6","67","9","8","45","Brazil","1027","1094","16","418","16","424","IndyCar Series - Road","100","0"
"6","57","Dallara DW12","63","Dallara DW12","198772","198772","Peter Grey","4","7","0","Running","-1:19.393","0","","1:50.224","1:46.735","18","24","3","62","7","4","19","New Jersey","1615","1646","20","499","20","499","IndyCar Series - Road","100","0"
"7","57","Dallara DW12","63","Dallara DW12","34281","34281","Dan Lee Ensch","7","6","0","Running","-1:43.854","0","","1:51.243","1:46.705","22","24","3","56","5","4","31","Great Plains","1622","1641","20","441","20","451","IndyCar Series - Road","100","0"
"8","57","Dallara DW12","63","Dallara DW12","241435","241435","Paul Parashak","9","11","0","Running","-1 L","0","","1:53.369","1:47.082","18","23","9","51","3","5","23","Mid-South","1198","1223","11","330","11","344","IndyCar Series - Road","100","0"
"9","57","Dallara DW12","63","Dallara DW12","71699","71699","Ricardo Rossi","10","9","0","Running","-2 L","0","","2:00.727","1:52.399","19","22","14","46","1","5","45","Brazil","1355","1362","19","356","19","324","IndyCar Series - Road","100","0"
"10","57","Dallara DW12","63","Dallara DW12","68592","68592","Colin Appleton","13","15","29","Disqualified","-6 L","0","","2:01.933","1:54.195","16","18","17","41","0","8","34","Australia/NZ","835","857","10","282","10","272","IndyCar Series - Road","100","0"
"11","57","Dallara DW12","63","Dallara DW12","64595","64595","Blake O''Connell","12","14","32","Disconnected","-12 L","0","","1:53.349","1:47.064","10","12","13","36","0","8","32","West","962","966","10","267","10","259","IndyCar Series - Road","100","0"
"12","57","Dallara DW12","63","Dallara DW12","248454","248454","Rob McGinnis","8","10","32","Disconnected","-19 L","0","","1:48.226","1:46.278","5","5","5","31","0","4","20","Ohio","1278","1256","17","135","17","131","IndyCar Series - Road","100","0"
"13","57","Dallara DW12","63","Dallara DW12","157097","157097","Brian Rainville","11","12","32","Disconnected","-20 L","0","","2:00.852","1:52.025","3","4","13","25","0","5","15","Canada","1128","1102","10","251","10","232","IndyCar Series - Road","100","0"
"14","57","Dallara DW12","63","Dallara DW12","108255","108255","Casey Drake","16","18","32","Disconnected","-21 L","0","","2:01.414","","","3","7","20","0","10","29","Midwest","153","182","10","210","10","204","IndyCar Series - Road","100","0"
"15","57","Dallara DW12","63","Dallara DW12","238600","238600","Chester Thompson","15","17","32","Disconnected","-23 L","0","","3:01.019","","","1","3","15","0","7","6","California Club","763","734","18","201","17","149","IndyCar Series - Road","100","0"
"16","57","Dallara DW12","63","Dallara DW12","249149","249149","Ryan Junge","14","16","32","Disconnected","-23 L","0","","00.000","","","1","4","10","0","9","6","California Club","790","750","15","315","15","306","IndyCar Series - Road","100","0"
"17","57","Dallara DW12","63","Dallara DW12","124538","124538","Jack van Hees","17","4","32","Disconnected","-24 L","0","","00.000","","","0","0","0","0","2","40","Benelux","2319","2203","19","313","19","313","IndyCar Series - Road","100","0"
"18","57","Dallara DW12","63","Dallara DW12","74591","74591","Trevor Williams","18","8","32","Disconnected","-24 L","0","","00.000","","","0","0","0","0","4","28","Michigan","1460","1369","10","251","10","246","IndyCar Series - Road","100","0"
