"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2017.06.30 8:00 PM GMT","Donington Park Racing Circuit - Grand Prix","IndyCar Series - Road","2017","3","N/A","3","2112"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","57","Dallara DW12","63","Dallara DW12","232950","232950","Henry Bennett","1","1","0","Running","-00.000","26","","1:14.347","1:12.076","34","36","1","123","11","1","36","UK and I","4656","4691","20","499","20","499","IndyCar Series - Road","100","0"
"2","57","Dallara DW12","63","Dallara DW12","154558","154558","Liam Quinn","3","2","0","Running","-05.313","10","","1:14.494","1:13.040","14","36","7","111","9","1","36","UK and I","4221","4247","20","453","20","442","IndyCar Series - Road","100","0"
"3","57","Dallara DW12","63","Dallara DW12","152376","152376","Teemu J Rönkkö","2","5","0","Running","-11.596","0","","1:14.669","1:12.507","30","36","8","100","7","2","44","Finland","2527","2575","20","499","20","499","IndyCar Series - Road","100","0"
"4","57","Dallara DW12","63","Dallara DW12","49276","49276","Andrey Efimenko","5","4","0","Running","-30.356","0","","1:15.190","1:13.667","11","36","3","89","5","3","46","Central-Eastern Europe","2701","2728","20","499","20","499","IndyCar Series - Road","100","0"
"5","57","Dallara DW12","63","Dallara DW12","238892","238892","Marcus Wohlmuth","9","8","0","Running","-45.053","0","","1:15.598","1:14.108","34","36","6","78","3","3","42","DE-AT-CH","1908","1942","19","316","19","325","IndyCar Series - Road","100","0"
"6","57","Dallara DW12","63","Dallara DW12","21975","21975","John Downing","4","3","0","Running","-1:01.640","0","","1:16.059","1:13.017","28","36","8","67","1","2","33","Northwest","2965","2953","20","499","20","499","IndyCar Series - Road","100","0"
"7","57","Dallara DW12","63","Dallara DW12","232142","232142","Jens Roecher","7","9","0","Running","-1 L","0","","1:17.232","1:15.021","25","35","10","55","0","3","42","DE-AT-CH","1708","1715","20","449","20","422","IndyCar Series - Road","100","0"
"8","57","Dallara DW12","63","Dallara DW12","180169","180169","Stuart McPhaden","6","6","0","Running","-1 L","0","","1:17.566","1:13.703","9","35","11","44","0","2","36","UK and I","2461","2429","14","232","14","242","IndyCar Series - Road","100","0"
"9","57","Dallara DW12","63","Dallara DW12","96253","96253","Kleber Bottaro Moura","8","11","0","Running","-1 L","0","","1:17.720","1:15.448","29","35","11","33","0","7","45","Brazil","1264","1256","19","359","19","338","IndyCar Series - Road","100","0"
"10","57","Dallara DW12","63","Dallara DW12","140153","140153","Doc Stout","11","7","0","Running","-1 L","0","","1:18.019","1:15.725","26","35","2","22","0","3","17","Virginias","2115","2060","20","484","20","492","IndyCar Series - Road","100","0"
"11","57","Dallara DW12","63","Dallara DW12","249464","249464","Jacob Yuenger","10","10","29","Disqualified","-8 L","0","","1:18.420","1:15.065","13","28","17","11","0","5","32","West","1275","1233","10","252","10","249","IndyCar Series - Road","100","0"
"12","57","Dallara DW12","63","Dallara DW12","173172","173172","Julian Wagg","12","12","32","Disconnected","-20 L","0","","1:17.931","1:14.688","12","16","12","5","0","10","12","New England","585","557","10","254","10","243","IndyCar Series - Road","100","0"
