"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2017.07.11 12:00 AM GMT","Circuit Gilles Villeneuve","IndyCar Series - Road","2017","3","N/A","5","2560"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","57","Dallara DW12","63","Dallara DW12","153097","153097","Fernando Guerrero","1","1","0","Running","-00.000","33","","1:23.403","1:21.677","5","33","0","157","21","1","38","Iberia","5741","5774","20","499","20","499","IndyCar Series - Road","100","0"
"2","57","Dallara DW12","63","Dallara DW12","192231","192231","Jefferson Padovani","2","9","0","Running","-02.625","0","","1:23.466","1:21.265","29","33","2","149","19","2","45","Brazil","3054","3130","20","423","20","435","IndyCar Series - Road","100","0"
"3","57","Dallara DW12","63","Dallara DW12","232950","232950","Henry Bennett","4","2","0","Running","-24.556","0","","1:24.147","1:22.398","22","33","1","142","17","1","36","UK and I","4487","4522","20","491","20","499","IndyCar Series - Road","100","0"
"4","57","Dallara DW12","63","Dallara DW12","154558","154558","Liam Quinn","5","3","0","Running","-36.032","0","","1:24.526","1:21.874","33","33","3","134","15","1","36","UK and I","4357","4385","20","499","20","499","IndyCar Series - Road","100","0"
"5","57","Dallara DW12","63","Dallara DW12","80719","80719","Austin Espitee","6","4","0","Running","-38.356","0","","1:24.565","1:22.323","33","33","0","127","13","1","12","New England","3988","4014","20","499","20","499","IndyCar Series - Road","100","0"
"6","57","Dallara DW12","63","Dallara DW12","258728","258728","Michele Costantini","8","14","0","Running","-54.492","0","","1:25.054","1:23.035","29","33","2","119","11","3","41","Italy","2274","2336","20","475","20","485","IndyCar Series - Road","100","0"
"7","57","Dallara DW12","63","Dallara DW12","180414","180414","Arturo Amro","11","11","0","Running","-55.194","0","","1:25.052","1:22.956","33","33","5","112","9","2","34","Australia/NZ","2873","2908","18","294","19","348","IndyCar Series - Road","100","0"
"8","57","Dallara DW12","63","Dallara DW12","21975","21975","John Downing","10","10","0","Running","-1:04.583","0","","1:25.360","1:23.122","10","33","5","104","7","2","33","Northwest","2984","3007","20","499","20","499","IndyCar Series - Road","100","0"
"9","57","Dallara DW12","63","Dallara DW12","173613","173613","Carlos Neto","3","6","0","Running","-1:07.730","0","","1:25.356","1:21.764","27","33","5","97","5","2","45","Brazil","3310","3316","20","499","20","491","IndyCar Series - Road","100","0"
"10","57","Dallara DW12","63","Dallara DW12","97903","97903","Stephen Warcup","9","7","0","Running","-1:16.802","0","","1:24.920","1:22.113","29","33","2","89","3","2","15","Canada","3165","3166","19","369","19","389","IndyCar Series - Road","100","0"
