"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2017.08.10 5:00 PM GMT","Mazda Raceway Laguna Seca - Full Course","Dallara Dash","2017","3","N/A","9","1199"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","29","Indycar Dallara circa 2011","26","Dallara IndyCar","282210","282210","Gérard AMBIBARD","4","7","0","Running","-00.000","8","","1:17.506","1:14.847","3","10","20","0","0","0","39","France","1118","1118","6","248","6","248","Dallara Dash","100","0"
"2","29","Indycar Dallara circa 2011","26","Dallara IndyCar","105908","105908","Pavel Philippov","3","4","0","Running","-37.590","2","","1:21.265","1:15.133","4","10","22","0","0","0","46","Central-Eastern Europe","1114","1114","14","218","14","218","Dallara Dash","100","0"
"3","29","Indycar Dallara circa 2011","26","Dallara IndyCar","239231","239231","Claudius Wied","1","11","0","Running","-59.924","0","","1:12.063","1:09.931","3","10","8","0","0","0","42","DE-AT-CH","","","2","263","2","263","Dallara Dash","100","0"
"4","29","Indycar Dallara circa 2011","26","Dallara IndyCar","289692","289692","Arda Yayla","7","55","0","Running","-1 L","0","","1:28.030","","","9","23","0","0","0","1","International Club","","","2","250","2","250","Dallara Dash","100","0"
"5","29","Indycar Dallara circa 2011","26","Dallara IndyCar","208352","208352","Jimmy Duncan","2","961","0","Running","-2 L","0","","1:15.199","1:11.684","3","8","11","0","0","0","6","California Club","","","2","250","2","250","Dallara Dash","100","0"
"6","29","Indycar Dallara circa 2011","26","Dallara IndyCar","289898","289898","Elin Dellkrans","9","2","29","Disqualified","-4 L","0","","3:12.377","","","6","24","0","0","0","43","Scandinavia","","","2","250","2","250","Dallara Dash","100","0"
"7","29","Indycar Dallara circa 2011","26","Dallara IndyCar","288325","288325","Loris Rossi2","11","26","32","Disconnected","-5 L","0","","1:19.953","1:16.354","2","5","10","0","0","0","41","Italy","","","2","233","2","233","Dallara Dash","100","0"
"8","29","Indycar Dallara circa 2011","26","Dallara IndyCar","287700","287700","Jose Luis Puerto","5","6","32","Disconnected","-6 L","0","","2:07.217","","","4","8","0","0","0","38","Iberia","","","2","256","2","256","Dallara Dash","100","0"
"9","29","Indycar Dallara circa 2011","26","Dallara IndyCar","289904","289904","Aron Kertesz","8","1","0","Running","-6 L","0","","2:32.173","","","4","36","0","0","0","42","DE-AT-CH","","","2","250","2","250","Dallara Dash","100","0"
"10","29","Indycar Dallara circa 2011","26","Dallara IndyCar","266411","266411","Ethan Ball","6","5","32","Disconnected","-9 L","0","","1:27.655","","","1","10","0","0","0","17","Virginias","860","860","5","190","5","190","Dallara Dash","100","0"
"11","29","Indycar Dallara circa 2011","26","Dallara IndyCar","268526","268526","Ryan Calendrillo","12","24","32","Disconnected","-10 L","0","","00.000","","","0","9","0","0","0","19","New Jersey","","","2","231","2","231","Dallara Dash","100","0"
"12","29","Indycar Dallara circa 2011","26","Dallara IndyCar","289891","289891","Ad Ad","10","3","32","Disconnected","-10 L","0","","00.000","","","0","4","0","0","0","42","DE-AT-CH","","","2","250","2","250","Dallara Dash","100","0"
