"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2017.08.22 10:00 PM GMT","Phoenix International Raceway - 2008 - Oval","Dallara Dash","2017","3","N/A","11","1689"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","29","Indycar Dallara circa 2011","26","Dallara IndyCar","209307","209307","Joshua Halvey","1","993","0","Running","-00.000","30","","21.905","21.582","2","30","0","0","0","0","20","Ohio","1747","1747","18","282","18","282","Dallara Dash","100","0"
"2","29","Indycar Dallara circa 2011","26","Dallara IndyCar","237017","237017","Charles Hinkle","5","38","0","Running","-01.823","0","","21.965","21.561","3","30","4","0","0","0","23","Mid-South","1106","1106","15","390","15","390","Dallara Dash","100","0"
"3","29","Indycar Dallara circa 2011","26","Dallara IndyCar","103311","103311","Helio Santos","4","09","0","Running","-03.961","0","","22.037","21.550","2","30","4","0","0","0","45","Brazil","1210","1210","6","246","6","246","Dallara Dash","100","0"
"4","29","Indycar Dallara circa 2011","26","Dallara IndyCar","149820","149820","Austin Collings","7","5","0","Running","-07.529","0","","22.155","21.774","3","30","0","0","0","0","32","West","1440","1440","11","321","11","321","Dallara Dash","100","0"
"5","29","Indycar Dallara circa 2011","26","Dallara IndyCar","289891","289891","Ad Ad","11","2","0","Running","-2 L","0","","23.526","21.966","16","28","9","0","0","0","42","DE-AT-CH","","","2","250","2","250","Dallara Dash","100","0"
"6","29","Indycar Dallara circa 2011","26","Dallara IndyCar","89778","89778","Adam Smith5","10","1","0","Running","-3 L","0","","22.027","21.838","5","27","2","0","0","0","36","UK and I","1383","1383","6","272","6","272","Dallara Dash","100","0"
"7","29","Indycar Dallara circa 2011","26","Dallara IndyCar","102806","102806","Beto Soussa","2","273","0","Running","-3 L","0","","21.880","21.499","2","27","4","0","0","0","45","Brazil","2875","2875","16","499","16","499","Dallara Dash","100","0"
"8","29","Indycar Dallara circa 2011","26","Dallara IndyCar","279455","279455","Ryan Hellyer","3","27","0","Running","-4 L","0","","22.060","21.492","2","26","4","0","0","0","34","Australia/NZ","1582","1582","6","249","6","249","Dallara Dash","100","0"
"9","29","Indycar Dallara circa 2011","26","Dallara IndyCar","270525","270525","Adam Buchanan","13","44","0","Running","-5 L","0","","25.272","21.975","17","25","10","0","0","0","14","New York","1857","1857","11","343","11","343","Dallara Dash","100","0"
"10","29","Indycar Dallara circa 2011","26","Dallara IndyCar","193423","193423","Wyatt Warner","14","88","32","Disconnected","-12 L","0","","22.342","21.601","2","18","8","0","0","0","16","Pennsylvania","4315","4315","11","313","11","313","Dallara Dash","100","0"
"11","29","Indycar Dallara circa 2011","26","Dallara IndyCar","289779","289779","G J Menendez Lopez","8","22","0","Running","-13 L","0","","22.507","21.848","2","17","2","0","0","0","38","Iberia","","","2","253","2","253","Dallara Dash","100","0"
"12","29","Indycar Dallara circa 2011","26","Dallara IndyCar","289862","289862","Lynn Crow","9","20","32","Disconnected","-25 L","0","","23.303","21.887","3","5","4","0","0","0","27","Indiana","","","2","250","2","250","Dallara Dash","100","0"
"13","29","Indycar Dallara circa 2011","26","Dallara IndyCar","255810","255810","Emanuel Lopez","12","11","32","Disconnected","-30 L","0","","00.000","","","0","4","0","0","0","24","Hispanoamérica","2423","2423","19","346","19","346","Dallara Dash","100","0"
"14","29","Indycar Dallara circa 2011","26","Dallara IndyCar","193228","193228","Scott K Boyd","6","34","32","Disconnected","-30 L","0","","00.000","","","0","0","0","0","0","25","Carolina","1373","1373","20","454","20","454","Dallara Dash","100","0"
