"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2017.08.23 9:45 PM GMT","Sebring International Raceway - International","Pro Mazda Championship","2017","3","N/A","11","1815"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","4","Pro Mazda","4","Pro Mazda","43003","43003","Alessandro Maresta","2","8","0","Running","-00.000","13","","1:59.088","1:58.146","12","15","3","111","17","3","41","Italy","1751","1848","14","256","14","274","Pro Mazda Championship","32","0"
"2","4","Pro Mazda","4","Pro Mazda","154266","154266","Stephan Roesgen","4","3","0","Running","-06.949","0","","1:59.551","1:57.905","8","15","0","104","15","2","42","DE-AT-CH","3373","3414","18","210","18","237","Pro Mazda Championship","32","0"
"3","4","Pro Mazda","4","Pro Mazda","21149","21149","Daniel Behrensen","1","1","0","Running","-07.210","1","","1:59.569","1:57.266","12","15","8","97","13","1","42","DE-AT-CH","4279","4292","18","264","18","253","Pro Mazda Championship","32","0"
"4","4","Pro Mazda","4","Pro Mazda","234303","234303","Jamie Brinkley","5","4","0","Running","-14.779","0","","2:00.073","1:58.911","14","15","0","91","11","4","36","UK and I","2898","2927","18","290","19","357","Pro Mazda Championship","32","0"
"5","4","Pro Mazda","4","Pro Mazda","161943","161943","José F. Díaz","6","7","0","Running","-18.332","0","","2:00.310","1:59.237","11","15","0","84","9","3","38","Iberia","2215","2252","20","409","20","422","Pro Mazda Championship","32","0"
"6","4","Pro Mazda","4","Pro Mazda","83803","83803","Gerard McAreavey","3","2","0","Running","-23.760","1","","2:00.672","1:58.335","8","15","3","78","7","2","36","UK and I","3443","3439","18","290","18","299","Pro Mazda Championship","32","0"
"7","4","Pro Mazda","4","Pro Mazda","166528","166528","Alejandro Portugal","14","11","0","Running","-52.784","0","","2:02.606","2:00.464","10","15","3","71","5","4","24","Hispanoamérica","1460","1502","18","248","18","257","Pro Mazda Championship","32","0"
"8","4","Pro Mazda","4","Pro Mazda","35675","35675","Walter Bornack Jr","15","13","0","Running","-1:25.849","0","","2:04.810","2:00.654","9","15","2","65","3","6","20","Ohio","1348","1383","19","352","19","355","Pro Mazda Championship","32","0"
"9","4","Pro Mazda","4","Pro Mazda","256437","256437","Ryan Cullan","17","17","0","Running","-1:35.451","0","","2:05.450","2:01.084","2","15","10","58","1","9","12","New England","1173","1205","14","255","14","248","Pro Mazda Championship","32","0"
"10","4","Pro Mazda","4","Pro Mazda","226091","226091","Michael Wojciechowski","13","10","32","Disconnected","-1 L","0","","2:00.772","1:59.085","10","14","2","52","0","3","29","Midwest","1558","1563","15","334","15","339","Pro Mazda Championship","32","0"
"11","4","Pro Mazda","4","Pro Mazda","278194","278194","Daniel O'Neil3","16","14","32","Disconnected","-2 L","0","","2:03.880","2:00.573","6","13","4","45","0","5","20","Ohio","1275","1280","11","351","11","358","Pro Mazda Championship","32","0"
"12","4","Pro Mazda","4","Pro Mazda","180997","180997","Robin Stevenson","10","12","0","Running","-2 L","0","","2:25.891","2:02.878","11","13","8","39","0","4","36","UK and I","1392","1382","20","438","20","416","Pro Mazda Championship","32","0"
"13","4","Pro Mazda","4","Pro Mazda","266172","266172","Warren Wilcock","9","9","32","Disconnected","-5 L","0","","2:05.380","1:59.618","5","10","12","32","0","6","32","West","1694","1661","10","274","10","261","Pro Mazda Championship","32","0"
"14","4","Pro Mazda","4","Pro Mazda","180439","180439","Craig Ridley","7","5","32","Disconnected","-7 L","0","","2:00.895","1:59.223","5","8","4","26","0","2","36","UK and I","2543","2472","19","353","19","344","Pro Mazda Championship","32","0"
"15","4","Pro Mazda","4","Pro Mazda","280574","280574","David Rojo Lopez","11","16","32","Disconnected","-11 L","0","","2:23.402","2:10.229","3","4","7","19","0","6","38","Iberia","1209","1174","11","323","11","309","Pro Mazda Championship","32","0"
"16","4","Pro Mazda","4","Pro Mazda","213952","213952","Michael H Burton","18","18","32","Disconnected","-13 L","0","","2:28.896","","","2","6","13","0","8","30","Texas","595","580","10","236","10","225","Pro Mazda Championship","32","0"
"17","4","Pro Mazda","4","Pro Mazda","255925","255925","Ken Ladd","8","15","32","Disconnected","-14 L","0","","00.000","","","1","4","6","0","5","22","Florida","1231","1173","15","340","15","329","Pro Mazda Championship","32","0"
"18","4","Pro Mazda","4","Pro Mazda","109335","109335","Phil Letchford","12","6","32","Disconnected","-15 L","0","","00.000","","","0","4","0","0","3","36","UK and I","2362","2252","19","335","19","316","Pro Mazda Championship","32","0"
